Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
JA458501,23620,10/04/2017 07:25:00 PM,014XX N LECLAIRE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2533,37,01A,1142106,1909168,2017,10/11/2017 03:51:00 PM,41.906818119,-87.753426937,"(41.906818119, -87.753426937 )"
JA458411,23619,10/04/2017 06:22:00 PM,010XX N LONG AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1524,37,01A,1140121,1906340,2017,10/11/2017 03:51:00 PM,41.899094348,-87.760788097,"(41.899094348, -87.760788097)"
HZ420540,22759,09/04/2016 07:01:00 PM,052XX S SANGAMON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0934,20,01A,1170867,1870055,2016,10/11/2017 03:48:43 PM,41.798906664,-87.648921225,"(41.798906664, -87.648921225)"
JA457351,23618,10/03/2017 09:48:00 PM,070XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0733,17,01A,1170532,1858058,2017,10/10/2017 03:47:20 PM,41.765992802,-87.650499121,"(41.765992802, -87.650499121)"
JA456552,23617,10/03/2017 12:15:00 PM,033XX S DAMEN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0912,11,01A,1163562,1882585,2017,10/10/2017 03:47:20 PM,41.833446911,-87.675358503,"(41.833446911, -87.675358503)"
JA451059,23623,10/02/2017 02:28:00 PM,004XX W 102ND PL,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2232,9,01A,1175097,1836945,2017,10/09/2017 03:47:48 PM,41.707955327,-87.634395343,"(41.707955327, -87.634395343)"
JA454921,23616,10/02/2017 09:36:00 AM,000XX N LONG AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,1522,28,01A,1140339,1899782,2017,10/09/2017 03:47:48 PM,41.881094392,-87.760148281,"(41.881094392, -87.760148281)"
JA453862,23615,10/01/2017 10:36:00 AM,026XX E 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0334,7,01A,1194990,1855738,2017,10/08/2017 03:49:32 PM,41.759058776,-87.560929772,"(41.759058776, -87.560929772)"
JA453526,23614,10/01/2017 12:43:00 AM,050XX N BERNARD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1712,39,01A,1152478,1933066,2017,10/08/2017 03:49:32 PM,41.972197342,-87.714692471,"(41.972197342, -87.714692471)"
JA451059,23612,09/29/2017 08:57:00 AM,004XX W 102ND PL,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2232,9,01A,1175097,1836945,2017,10/06/2017 03:57:19 PM,41.707955327,-87.634395343,"(41.707955327, -87.634395343)"
