TOTAL,609729,61064,SCHURZ HS,0,35.6,33.8,38.7,48.5,46.6,49.4,55.7,42.8,49.6,48,49.4,47.9,49.3,60.7,61.6,66,63.6,65.8,50.7,765,704,737,746,652,676,733,731,676,621,609,468,570,590,588,614,601,593
TOTAL,TOTAL,60660,ALL60660,,40.5,37.4,38.2,42.4,44.1,46.9,53.5,50.9,53.8,56.7,52.7,58.8,59.9,68.7,83.9,84.3,87.3,88.1,58.2,,,,,,,,,,,,,,,,,,
TOTAL,609724,60659,MATHER HS,0,64.8,57.9,58.7,56.7,63.9,66.2,66,59.6,67,61.9,56.6,48.8,58.1,65.9,59,63.1,71.5,78.3,62.4,460,442,477,462,465,550,533,453,558,501,426,383,399,428,349,404,417,351
TOTAL,609753,60655,CHGO AGR HS,0,69.4,70.9,79,67.8,63.7,59.9,56.2,64.9,72.8,66.9,63.4,69.7,69.7,87.1,88.1,83.2,85.4,90.1,72.7,124,151,157,143,157,152,169,171,151,160,153,175,152,147,160,155,185,171
TOTAL,,60653,TOTAL60653,,37.5,42.8,49.5,46.8,52.1,57.1,66.3,64,62.6,65.6,57.6,65.3,68.2,75.9,71.6,78.4,83.5,89.2,63.0,,,,,,,,,,,,,,,,,,
TOTAL,,60652,TOTAL60652,,63.8,53.5,50.9,54,56.3,52,47.1,45.2,47.4,44,44.3,50.3,54,59.4,67.1,74.9,90.2,87.8,57.9,,,,,,,,,,,,,,,,,,
TOTAL,,60649,TOTAL60649,,38.9,52.9,50.2,53.6,62.1,52.2,60.5,49.7,39.5,43.6,37.6,41.9,56.6,67.3,58,77.4,94.1,91.8,57.1,,,,,,,,,,,,,,,,,,
TOTAL,,60644,,,48.5,69.2,26.5,42.1,31.8,55.4,82.1,68.7,53.8,54.5,54.2,62.4,66,79.8,73.2,73.4,82.4,82.8,61.5,,,,,,,,,,,,,,,,,,
TOTAL,,60643,,,57.7,54.6,55.1,62.9,53.7,64,65.3,57.2,57.5,59.2,59.7,54.4,55.9,72.9,70.1,64.2,72.7,62.3,61.1,,,,,,,,,,,,,,,,,,
TOTAL,609708,60641,FOREMAN HS,0,47.5,56.5,53.4,48.3,52,49.3,56.6,50.8,53,49,50.8,45.4,56.7,57.9,75.6,68.7,77.9,63.3,56,417,356,384,408,481,430,376,504,477,502,443,557,554,423,386,323,276,286
TOTAL,,60639,,,58.5,56.6,63,66.2,65.9,70.3,73.8,67.6,74.1,71.7,69,73,79.6,75.7,72.2,74.3,86,88.3,71.4,,,,,,,,,,,,,,,,,,
TOTAL,609718,60638,KENNEDY HS,0,60.6,65.5,69.9,75.1,64.8,62.2,67,56.7,59.3,54.3,46.8,56.9,56.2,59.8,59.7,60.4,75.6,78.7,62.8,439,377,428,442,443,410,382,374,452,427,476,411,445,391,382,376,324,362
TOTAL,,60637,,,52.1,62.4,59.2,68,63,62.2,71.5,64.3,59.7,53.2,53.8,62.2,55.5,55.8,63.7,60.5,75.1,82.9,63,,,,,,,,,,,,,,,,,,
TOTAL,,60636,,,38.3,42.1,47.5,46.9,46.6,54.8,60.1,48.3,45.5,56.6,54.5,54.7,61.8,77.7,75.8,79.7,89.9,90.3,59.5,,,,,,,,,,,,,,,,,,
TOTAL,,60634,,,43.4,48.1,39.4,43.3,41.6,44.4,47.6,52.6,51.1,50.7,51.4,59.1,61.8,68,72.8,75.6,85.4,82.3,56.6,,,,,,,,,,,,,,,,,,
TOTAL,,60632,,,61.8,62.4,64.2,62.7,61.2,64.3,69.5,61.4,62.7,61.1,59,56,59.7,59.5,67.2,67.9,75.8,77.2,64.1,,,,,,,,,,,,,,,,,,
TOTAL,609734,60631,TAFT HS,0,47.8,41.7,37.4,44.8,54.6,54.1,56.3,58.3,55.5,57.1,63.1,58.8,58.9,58.9,77.3,73.1,82.9,84.5,59.2,498,434,529,411,335,407,496,593,692,701,585,548,621,591,678,659,747,702
total,,60629,,,58.8,62,58.8,59,62.3,69.4,67.8,58,54.7,50.5,50.8,56.1,55.9,61.9,65.4,78.3,83.2,81.9,63.0,,,,,,,,,,,,,,,,,,
total,,60628,,,40.7,32.8,50.5,49.3,56.9,57.6,56.8,48.7,59.1,54.1,51,53.1,63.9,62.3,74.5,64.9,73.1,82.5,57.3,,,,,,,,,,,,,,,,,,
TOTAL,609760,60627,CARVER MILITARY,0,40.5,34,30.8,37.7,58.5,47.1,57.1,66.1,69,55,66.1,77.5,64.9,92.9,79.5,86.3,89.2,91.2,63.5,168,162,198,220,217,291,233,224,197,129,115,142,168,141,171,139,139,137
TOTAL,609733,60626,SULLIVAN HS,0,47.3,39.5,41.4,48.8,46.5,52.1,46.3,46.2,48.5,45.9,37.7,48.8,54.2,66.2,68.6,62.4,61.3,83.7,52.5,347,347,345,324,329,340,328,329,293,290,204,162,216,195,156,189,163,98
TOTAL,,60625,,,64.6,65.2,61.4,65.8,68.2,69.6,70.9,70,67.1,65.8,68.7,69.9,72,77.2,75.7,76.6,79.2,83.2,70.6,,,,,,,,,,,,,,,,,,
TOTAL,,60624,,,51,45,49.8,53.6,54.5,53.8,50.3,36.3,47.8,50,48.4,50.4,45.5,65.3,72.8,71.1,71.7,81.8,55.5,,,,,,,,,,,,,,,,,,
TOTAL,,60623,,,44.5,42.6,42.5,52.3,55.3,55.3,61.3,57.9,51.7,55,52.2,57.5,65,67.5,77.8,75.9,81.2,81,59.8,,,,,,,,,,,,,,,,,,
TOTAL,,60622,,,47.5,48.8,51,62.8,56.7,56.3,63,55.1,61,53.9,53.5,40.7,52.8,53.2,59.9,82.8,84.2,90,59.6,,,,,,,,,,,,,,,,,,
TOTAL,,60621,,,29.1,24,36.6,37.7,46,42.4,56.6,44.2,52.6,53.3,45.6,48,52.6,65.3,63.4,62.3,76.8,79.1,51,,,,,,,,,,,,,,,,,,
